COUNTRY,BEER_SERVINGS,SPIRIT_SERVINGS,WINE_SERVINGS,TOTAL_LITRES_OF_PURE_ALCOHOL,CONTINENT
AFGHANISTAN,0,0,0,0.0,AS
ALBANIA,89,132,54,4.9,EU
ALGERIA,25,0,14,0.7,AF
ANDORRA,245,138,312,12.4,EU
ANGOLA,217,57,45,5.9,AF
ANTIGUA & BARBUDA,102,128,45,4.9,NA
ARGENTINA,193,25,221,8.3,SA
ARMENIA,21,179,11,3.8,EU
AUSTRALIA,261,72,212,10.4,OC
AUSTRIA,279,75,191,9.7,EU
AZERBAIJAN,21,46,5,1.3,EU
BAHAMAS,122,176,51,6.3,NA
BAHRAIN,42,63,7,2.0,AS
BANGLADESH,0,0,0,0.0,AS
BARBADOS,143,173,36,6.3,NA
BELARUS,142,373,42,14.4,EU
BELGIUM,295,84,212,10.5,EU
BELIZE,263,114,8,6.8,NA
BENIN,34,4,13,1.1,AF
BHUTAN,23,0,0,0.4,AS
BOLIVIA,167,41,8,3.8,SA
BOSNIA-HERZEGOVINA,76,173,8,4.6,EU
BOTSWANA,173,35,35,5.4,AF
BRAZIL,245,145,16,7.2,SA
BRUNEI,31,2,1,0.6,AS
BULGARIA,231,252,94,10.3,EU
BURKINA FASO,25,7,7,4.3,AF
BURUNDI,88,0,0,6.3,AF
COTE D'IVOIRE,37,1,7,4.0,AF
CABO VERDE,144,56,16,4.0,AF
CAMBODIA,57,65,1,2.2,AS
CAMEROON,147,1,4,5.8,AF
CANADA,240,122,100,8.2,NA
CENTRAL AFRICAN REPUBLIC,17,2,1,1.8,AF
CHAD,15,1,1,0.4,AF
CHILE,130,124,172,7.6,SA
CHINA,79,192,8,5.0,AS
COLOMBIA,159,76,3,4.2,SA
COMOROS,1,3,1,0.1,AF
CONGO,76,1,9,1.7,AF
COOK ISLANDS,0,254,74,5.9,OC
COSTA RICA,149,87,11,4.4,NA
CROATIA,230,87,254,10.2,EU
CUBA,93,137,5,4.2,NA
CYPRUS,192,154,113,8.2,EU
CZECH REPUBLIC,361,170,134,11.8,EU
NORTH KOREA,0,0,0,0.0,AS
DR CONGO,32,3,1,2.3,AF
DENMARK,224,81,278,10.4,EU
DJIBOUTI,15,44,3,1.1,AF
DOMINICA,52,286,26,6.6,NA
DOMINICAN REPUBLIC,193,147,9,6.2,NA
ECUADOR,162,74,3,4.2,SA
EGYPT,6,4,1,0.2,AF
EL SALVADOR,52,69,2,2.2,NA
EQUATORIAL GUINEA,92,0,233,5.8,AF
ERITREA,18,0,0,0.5,AF
ESTONIA,224,194,59,9.5,EU
ETHIOPIA,20,3,0,0.7,AF
FIJI,77,35,1,2.0,OC
FINLAND,263,133,97,10.0,EU
FRANCE,127,151,370,11.8,EU
GABON,347,98,59,8.9,AF
GAMBIA,8,0,1,2.4,AF
GEORGIA,52,100,149,5.4,EU
GERMANY,346,117,175,11.3,EU
GHANA,31,3,10,1.8,AF
GREECE,133,112,218,8.3,EU
GRENADA,199,438,28,11.9,NA
GUATEMALA,53,69,2,2.2,NA
GUINEA,9,0,2,0.2,AF
GUINEA-BISSAU,28,31,21,2.5,AF
GUYANA,93,302,1,7.1,SA
HAITI,1,326,1,5.9,NA
HONDURAS,69,98,2,3.0,NA
HUNGARY,234,215,185,11.3,EU
ICELAND,233,61,78,6.6,EU
INDIA,9,114,0,2.2,AS
INDONESIA,5,1,0,0.1,AS
IRAN,0,0,0,0.0,AS
IRAQ,9,3,0,0.2,AS
IRELAND,313,118,165,11.4,EU
ISRAEL,63,69,9,2.5,AS
ITALY,85,42,237,6.5,EU
JAMAICA,82,97,9,3.4,NA
JAPAN,77,202,16,7.0,AS
JORDAN,6,21,1,0.5,AS
KAZAKHSTAN,124,246,12,6.8,AS
KENYA,58,22,2,1.8,AF
KIRIBATI,21,34,1,1.0,OC
